player name,td,int,year

Charley Johnson,10,11,1966

Terry Nofsinger,2,8,1966

Randy Johnson,12,21,1966

Dennis Claridge,2,2,1966

Jack Kemp*,11,16,1966

Rudy Bukich,10,21,1966

Frank Ryan*,29,14,1966

Don Meredith*,24,12,1966

Jerry Rhome,0,1,1966

John McCormick,6,15,1966

Max Choboian,4,12,1966

Mickey Slaughter,1,0,1966

Scotty Glacken,1,0,1966

Karl Sweetan,4,14,1966

Milt Plum,4,13,1966

Bart Starr*+,14,3,1966

Zeke Bratkowski,4,2,1966

Johnny Unitas*,22,24,1966

Gary Cuozzo,4,2,1966

Len Dawson*+,26,10,1966

John Hadl,23,14,1966

Steve Tensi,5,1,1966

Roman Gabriel,10,16,1966

Tom Flores*,24,14,1966

Cotton Davidson,2,11,1966

Dick Wood,4,14,1966

George Wilson,5,10,1966

John Stofa,4,2,1966

Rick Norton,3,6,1966

Fran Tarkenton,17,16,1966

Bob Berry,1,5,1966

Ron Vander Kelen,0,1,1966

Babe Parilli*,20,20,1966

Gary Wood,6,13,1966

Earl Morrall,7,12,1966

Tom Kennedy,7,6,1966

Joe Namath,19,27,1966

Mike Taliaferro,2,2,1966

Norm Snead,8,11,1966

King Hill,5,7,1966

Jack Concannon,1,4,1966

Ron Smith,8,12,1966

Bill Nelsen,7,1,1966

George Izo,2,8,1966

John Brodie,16,22,1966

George Mira,5,2,1966

George Blanda,17,21,1966

Don Trull,10,5,1966

Buddy Humphrey,2,1,1966

Sonny Jurgensen*,28,19,1966

